"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 26 11:28:43 IST 2023","Sun Nov 26 11:28:59 IST 2023","16481","All Test Suite","ATB4xSeleniumAdvanceFramework","com.thetestingacademy.vwo.LoginTests.LoginTest","com.thetestingacademy.vwo.LoginTests.LoginTest","testLoginPositive","testLoginPositive",""
"broken","Sun Nov 26 11:27:45 IST 2023","Sun Nov 26 11:27:45 IST 2023","4","All Test Suite","ATB4xSeleniumAdvanceFramework","com.thetestingacademy.vwo.LoginTests.LoginTest","com.thetestingacademy.vwo.LoginTests.LoginTest","setUp","setUp",""
